epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
39,8541.85,0.35442,0.27792,0.91403,0.01159,0.99983,1,0.995,0.98136,0.20511,0.17478,0.8077,0.00309,0.0012476,0.0012476,0.0012476
40,8595.64,0.34436,0.27156,0.90606,0.01043,0.99975,1,0.995,0.9817,0.2293,0.16843,0.81559,0.00183,0.0012278,0.0012278,0.0012278
41,8649.61,0.35561,0.2698,0.91608,0.00962,0.99988,1,0.995,0.97749,0.23889,0.16596,0.82314,0.00199,0.001208,0.001208,0.001208
42,8701.01,0.34415,0.26916,0.90713,0.00986,0.99988,1,0.995,0.98344,0.22446,0.16686,0.81708,0.00193,0.0011882,0.0011882,0.0011882
43,8755.22,0.34294,0.26499,0.89748,0.0093,0.99987,1,0.995,0.98335,0.20178,0.16901,0.80518,0.0026,0.0011684,0.0011684,0.0011684
44,8808.6,0.34334,0.26469,0.90523,0.00937,0.99987,1,0.995,0.98195,0.19856,0.15375,0.80617,0.00142,0.0011486,0.0011486,0.0011486
45,8861.86,0.34363,0.26683,0.91096,0.00988,0.99988,1,0.995,0.98318,0.22614,0.17125,0.81443,0.00166,0.0011288,0.0011288,0.0011288
46,8915.12,0.33112,0.26005,0.89555,0.01003,1,1,0.995,0.98325,0.21731,0.16061,0.80784,0.00211,0.001109,0.001109,0.001109
47,8968.34,0.32949,0.26027,0.8982,0.00961,0.99988,1,0.995,0.98375,0.18936,0.15458,0.80167,0.00177,0.0010892,0.0010892,0.0010892
48,9021.67,0.33197,0.26267,0.89645,0.01118,0.99988,1,0.995,0.98151,0.19476,0.15367,0.80201,0.00173,0.0010694,0.0010694,0.0010694
49,9075.23,0.32931,0.26009,0.9016,0.00959,1,1,0.995,0.97933,0.25891,0.17511,0.81052,0.00242,0.0010496,0.0010496,0.0010496
50,9128.53,0.32069,0.25297,0.89511,0.00861,1,1,0.995,0.9832,0.20254,0.15046,0.79992,0.00155,0.0010298,0.0010298,0.0010298
51,9181.78,0.32829,0.2594,0.89519,0.00933,0.99988,1,0.995,0.98253,0.20355,0.15709,0.79983,0.00188,0.00101,0.00101,0.00101
52,9234.98,0.32134,0.25455,0.89998,0.00809,0.99987,1,0.995,0.98367,0.19237,0.15418,0.80176,0.00128,0.0009902,0.0009902,0.0009902
53,9288.15,0.33038,0.26441,0.90472,0.00919,0.99985,1,0.995,0.98136,0.21522,0.15794,0.81017,0.003,0.0009704,0.0009704,0.0009704
54,9341.34,0.31406,0.24848,0.88353,0.00749,0.99985,1,0.995,0.98283,0.18691,0.15385,0.8005,0.00142,0.0009506,0.0009506,0.0009506
55,9394.63,0.33009,0.25852,0.89448,0.00922,0.99987,1,0.995,0.98296,0.21277,0.15745,0.80173,0.0012,0.0009308,0.0009308,0.0009308
56,9448.06,0.32743,0.2538,0.89686,0.00889,0.99985,1,0.995,0.98366,0.19205,0.14733,0.79934,0.00129,0.000911,0.000911,0.000911
57,9501.32,0.31484,0.24589,0.88188,0.00816,0.99986,1,0.995,0.97958,0.1952,0.1486,0.80055,0.00158,0.0008912,0.0008912,0.0008912
58,9554.87,0.33179,0.25713,0.90181,0.00936,0.99987,1,0.995,0.98129,0.22729,0.15808,0.80654,0.00139,0.0008714,0.0008714,0.0008714
59,9608.32,0.31574,0.24546,0.88778,0.00836,0.99984,1,0.995,0.98132,0.21409,0.15807,0.8027,0.00131,0.0008516,0.0008516,0.0008516
60,9661.55,0.32332,0.25567,0.88505,0.00889,0.99987,1,0.995,0.9828,0.19055,0.14446,0.80258,0.00111,0.0008318,0.0008318,0.0008318
61,9714.81,0.31597,0.24976,0.89572,0.00787,0.99988,1,0.995,0.98375,0.19382,0.14767,0.79846,0.00127,0.000812,0.000812,0.000812
62,9768.33,0.31338,0.2468,0.89178,0.00774,0.99987,1,0.995,0.98467,0.17982,0.14116,0.80157,0.00111,0.0007922,0.0007922,0.0007922
63,9821.64,0.31132,0.24407,0.88684,0.00659,0.99988,1,0.995,0.98381,0.20638,0.14709,0.80516,0.00118,0.0007724,0.0007724,0.0007724
64,9874.9,0.30948,0.24387,0.88209,0.0086,0.99988,1,0.995,0.98287,0.19914,0.14476,0.80506,0.00163,0.0007526,0.0007526,0.0007526
65,9928.15,0.31925,0.25134,0.88985,0.00785,1,1,0.995,0.98439,0.19446,0.14459,0.80208,0.00128,0.0007328,0.0007328,0.0007328
66,9981.46,0.31615,0.2511,0.8879,0.00777,0.99988,1,0.995,0.9839,0.22701,0.1585,0.80405,0.00178,0.000713,0.000713,0.000713
67,10034.7,0.30561,0.24637,0.88884,0.00721,0.99988,1,0.995,0.98549,0.20603,0.1529,0.79933,0.00148,0.0006932,0.0006932,0.0006932
68,10087.8,0.31115,0.2401,0.88325,0.00711,0.99988,1,0.995,0.98202,0.19284,0.14059,0.80387,0.00187,0.0006734,0.0006734,0.0006734
69,10141.2,0.30432,0.24238,0.88429,0.00775,0.99988,1,0.995,0.98249,0.1849,0.14839,0.79688,0.00181,0.0006536,0.0006536,0.0006536
70,10194.3,0.30402,0.23872,0.89049,0.0069,0.99988,1,0.995,0.98456,0.18809,0.13751,0.80298,0.00123,0.0006338,0.0006338,0.0006338
71,10247.5,0.31264,0.24379,0.88738,0.00779,1,1,0.995,0.98608,0.2016,0.14022,0.80241,0.00132,0.000614,0.000614,0.000614
72,10300.6,0.30395,0.241,0.88543,0.00724,0.99987,1,0.995,0.98539,0.18098,0.13466,0.80036,0.00106,0.0005942,0.0005942,0.0005942
73,10353.7,0.30009,0.24008,0.88568,0.00704,0.99988,1,0.995,0.98325,0.1753,0.13198,0.79591,0.00148,0.0005744,0.0005744,0.0005744
74,10406.8,0.29532,0.23608,0.87171,0.00765,0.99988,1,0.995,0.9847,0.18678,0.13356,0.7979,0.00136,0.0005546,0.0005546,0.0005546
75,10460,0.29615,0.23112,0.87547,0.00594,0.99988,1,0.995,0.9862,0.18904,0.13954,0.80078,0.00112,0.0005348,0.0005348,0.0005348
76,10513.4,0.29593,0.23462,0.87479,0.00727,0.99988,1,0.995,0.98347,0.21343,0.14334,0.80222,0.00186,0.000515,0.000515,0.000515
77,10566.7,0.30056,0.23856,0.88284,0.00719,0.99988,1,0.995,0.98606,0.19105,0.132,0.79766,0.0011,0.0004952,0.0004952,0.0004952
78,10619.8,0.2934,0.2317,0.87795,0.00777,0.99988,1,0.995,0.9858,0.17898,0.12979,0.79397,0.00115,0.0004754,0.0004754,0.0004754
79,10672.9,0.29354,0.23323,0.88439,0.00736,0.99988,1,0.995,0.98619,0.18516,0.13079,0.79641,0.00118,0.0004556,0.0004556,0.0004556
80,10726.2,0.28649,0.23008,0.87534,0.00579,0.99987,1,0.995,0.98483,0.19688,0.13119,0.79708,0.00176,0.0004358,0.0004358,0.0004358
81,10779.3,0.27791,0.22132,0.86637,0.00574,0.99988,1,0.995,0.98772,0.18076,0.12899,0.79503,0.00107,0.000416,0.000416,0.000416
82,10832.7,0.28616,0.22977,0.87272,0.00673,1,1,0.995,0.98652,0.18706,0.13424,0.79512,0.00116,0.0003962,0.0003962,0.0003962
83,10886.1,0.2961,0.23083,0.87645,0.00688,1,1,0.995,0.98523,0.17651,0.13049,0.79715,0.00108,0.0003764,0.0003764,0.0003764
84,10939.3,0.28636,0.22838,0.87373,0.00676,0.99988,1,0.995,0.98625,0.18384,0.13025,0.79581,0.00111,0.0003566,0.0003566,0.0003566
85,10992.3,0.27965,0.22412,0.87331,0.00619,1,1,0.995,0.98275,0.19038,0.13314,0.79697,0.00146,0.0003368,0.0003368,0.0003368
86,11045.5,0.27832,0.22134,0.87462,0.00577,0.99988,1,0.995,0.98385,0.19104,0.13402,0.79955,0.00116,0.000317,0.000317,0.000317
87,11098.6,0.27896,0.22368,0.86892,0.006,0.99988,1,0.995,0.98393,0.19298,0.13064,0.79995,0.00113,0.0002972,0.0002972,0.0002972
88,11151.7,0.28176,0.22184,0.87225,0.00543,1,1,0.995,0.98634,0.18282,0.12884,0.79569,0.0011,0.0002774,0.0002774,0.0002774
89,11204.9,0.27789,0.21892,0.86861,0.00704,0.99988,1,0.995,0.98553,0.18501,0.12625,0.7991,0.00099,0.0002576,0.0002576,0.0002576
