epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
39,3415.26,0.33824,0.26126,0.90079,0.00733,1,1,0.995,0.94665,0.31906,0.21171,0.88146,0.002,0.0012476,0.0012476,0.0012476
40,3429.12,0.32352,0.25725,0.8868,0.00644,0.99957,1,0.995,0.94479,0.34134,0.21173,0.88318,0.00278,0.0012278,0.0012278,0.0012278
41,3442.88,0.32766,0.25696,0.8869,0.00699,0.99951,1,0.995,0.94884,0.32519,0.21063,0.87724,0.00185,0.001208,0.001208,0.001208
42,3456.6,0.32437,0.25627,0.89425,0.00768,0.99959,1,0.995,0.94854,0.33024,0.20843,0.88825,0.00177,0.0011882,0.0011882,0.0011882
43,3470.29,0.30982,0.2512,0.88546,0.0064,1,1,0.995,0.9471,0.33021,0.21111,0.88857,0.00179,0.0011684,0.0011684,0.0011684
44,3484.06,0.33587,0.26542,0.89483,0.00692,1,1,0.995,0.94764,0.32493,0.22585,0.88378,0.00204,0.0011486,0.0011486,0.0011486
45,3497.87,0.32403,0.25633,0.88743,0.00727,1,1,0.995,0.94431,0.32275,0.21787,0.87296,0.00252,0.0011288,0.0011288,0.0011288
46,3511.63,0.3399,0.26029,0.88492,0.00699,1,1,0.995,0.94654,0.31357,0.2052,0.88146,0.00174,0.001109,0.001109,0.001109
47,3525.34,0.31775,0.25311,0.88449,0.00719,0.99954,1,0.995,0.94761,0.30969,0.19998,0.87367,0.00179,0.0010892,0.0010892,0.0010892
48,3539.08,0.31717,0.24727,0.88588,0.00689,1,1,0.995,0.95193,0.33533,0.22159,0.87385,0.00331,0.0010694,0.0010694,0.0010694
49,3552.84,0.31857,0.25034,0.88524,0.00521,1,1,0.995,0.94765,0.3097,0.21015,0.87062,0.00201,0.0010496,0.0010496,0.0010496
50,3566.59,0.31838,0.24501,0.88959,0.01006,1,1,0.995,0.94587,0.331,0.20633,0.88305,0.0025,0.0010298,0.0010298,0.0010298
51,3580.31,0.31753,0.24526,0.89579,0.00604,0.99958,1,0.995,0.94566,0.3121,0.19889,0.87317,0.00227,0.00101,0.00101,0.00101
52,3594.07,0.32915,0.25281,0.88605,0.00712,0.99958,1,0.995,0.95069,0.32245,0.2063,0.88208,0.00168,0.0009902,0.0009902,0.0009902
53,3607.8,0.29331,0.23198,0.86995,0.00643,1,1,0.995,0.94995,0.31758,0.19754,0.87942,0.0019,0.0009704,0.0009704,0.0009704
54,3621.52,0.3114,0.24031,0.88586,0.01013,0.99958,1,0.995,0.94795,0.31428,0.20034,0.87454,0.0024,0.0009506,0.0009506,0.0009506
