epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,505.845,0.80871,1.42568,1.87349,0.02593,0.99981,1,0.995,0.86163,0.63837,0.51348,1.10615,0.06192,0.000663317,0.000663317,0.000663317
2,1000.64,0.65897,0.52855,1.36919,0.02776,0.99963,1,0.995,0.78323,0.85336,0.56795,1.50955,0.05374,0.00130365,0.00130365,0.00130365
3,1493.61,0.62889,0.47416,1.25762,0.02836,0.99774,1,0.995,0.93489,0.42345,0.32428,0.93532,0.02014,0.00191758,0.00191758,0.00191758
4,1983.55,0.65268,0.45238,1.17557,0.04553,0.99952,1,0.995,0.92641,0.39093,0.36634,0.8942,0.00815,0.0018812,0.0018812,0.0018812
5,2475.73,0.56465,0.39965,1.0623,0.03281,0.99987,1,0.995,0.90542,0.45082,0.33535,0.9098,0.00606,0.0018416,0.0018416,0.0018416
6,2968.46,0.53816,0.39209,1.06172,0.02733,0.99972,1,0.995,0.93404,0.37089,0.30798,0.87804,0.01694,0.001802,0.001802,0.001802
